marque,modele,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,couleur,sellerie,emission_CO2,crit_air,usage_commerciale_anterieure,annee,prix_neuf,Mise_en_circulation
MERCEDES,MERCEDES-BENZ GLA,94697.0,Diesel,Boite de vitesse automatique,136,2,SUV,Noir,Cuir ,141.0,Crit'Air 2,Non,2019,41800.0,09/03/2019
PEUGEOT,PEUGEOT 5008,95871.0,Diesel,Boite de vitesse automatique,130,4,SUV,Vert,Mi-cuir ,101.0,Crit'Air 2,Non,2018,39500.0,09/08/2018
VOLKSWAGEN,VOLKSWAGEN POLO,61919.0,Essence,Boite de vitesse manuelle,95,2,Citadine,Gris,Tissu ,128.0,Crit'Air 1,Non,2021,23567.5,09/01/2021
LAND ROVER,LAND ROVER EVOQUE,61421.0,Diesel,Boite de vitesse manuelle,150,2,SUV,Noir,Tissu ,133.5,Crit'Air 2,Unknown,2018,36890.0,09/06/2018
PEUGEOT,PEUGEOT 208,57794.0,Essence,Boite de vitesse manuelle,100,1,Citadine,Rouge,Tissu ,123.0,Crit'Air 1,Non,2020,20555.0,09/10/2020
VOLVO,VOLVO XC60,61946.0,Diesel,Boite de vitesse automatique,197,Inconnu,SUV,Noir,Cuir ,142.0,Crit'Air 2,Non,2020,56538.333333333336,09/05/2020
CITROEN,CITROEN C4,49830.0,Diesel,Boite de vitesse automatique,131,Inconnu,Berline,Gris,Tissu ,122.0,Crit'Air 2,Non,2021,31286.5,09/10/2021
FORD,FORD FIESTA,64524.0,Essence,Boite de vitesse manuelle,75,2,Citadine,Gris,Tissu ,121.0,Crit'Air 1,Unknown,2021,18963.333333333332,09/08/2021
RENAULT,RENAULT CAPTUR,90579.0,Essence,Boite de vitesse automatique,131,Inconnu,SUV,Bleu,Mi-cuir ,142.0,Crit'Air 1,Non,2020,26500.0,09/09/2020
RENAULT,RENAULT CAPTUR,37068.0,Essence,Boite de vitesse manuelle,101,Inconnu,SUV,Bleu,Tissu ,135.0,Crit'Air 1,Non,2020,21750.0,09/11/2020
PEUGEOT,PEUGEOT 208,63219.0,Essence,Boite de vitesse automatique,100,2,Citadine,Blanc,Mi-cuir ,124.0,Crit'Air 1,Unknown,2023,28120.0,09/10/2023
BMW,BMW SÉRIE 1,72968.0,Essence,Boite de vitesse automatique,140,3,Berline,Gris,Alcantara ,147.0,Crit'Air 1,Oui,2020,39000.0,09/07/2020
VOLKSWAGEN,VOLKSWAGEN GOLF VIII,19772.0,Essence,Boite de vitesse automatique,150,1,Berline,Gris,Alcantara ,130.0,Crit'Air 1,Non,2023,42182.5,09/10/2023
MERCEDES,MERCEDES-BENZ CLASSE C,52845.0,Essence,Boite de vitesse automatique,204,3,Berline,Gris,Cuir ,154.0,Crit'Air 1,Non,2021,54425.0,09/06/2021
DS,CITROEN DS3 CABRIO,72518.0,Essence,Boite de vitesse automatique,110,3,Cabriolet,Gris,Tissu ,112.0,Crit'Air 1,Non,2017,24400.0,09/11/2017
HYUNDAI,HYUNDAI TUCSON,81816.0,Diesel,Boite de vitesse automatique,136,3,SUV,Noir,Mi-cuir ,122.33333333333333,Crit'Air 2,Unknown,2019,39133.333333333336,09/12/2019
MERCEDES,MERCEDES-BENZ CLA,32907.0,Essence,Boite de vitesse automatique,163,2,Berline,Gris,Mi-cuir ,146.0,Crit'Air 1,Non,2020,45183.333333333336,09/11/2020
CITROEN,CITROEN C3,85825.0,Essence,Boite de vitesse manuelle,110,1,Citadine,Blanc,Tissu ,104.0,Crit'Air 1,Non,2019,20750.0,09/08/2019
ALFA ROMEO,ALFA ROMEO TONALE,14175.0,Essence,Boite de vitesse automatique,130,1,SUV,Blanc,Tissu ,135.0,Crit'Air 1,Non,2024,41200.0,09/03/2024
MITSUBISHI,MITSUBISHI OUTLANDER,65220.0,Hybride,Boite de vitesse automatique,224,2,SUV,Blanc,Tissu ,46.0,Crit'Air 1,Unknown,2020,39490.0,09/07/2020
BMW,BMW SÉRIE 1,97676.0,Diesel,Boite de vitesse automatique,150,4,Berline,Blanc,Mi-cuir ,110.0,Crit'Air 2,Non,2018,39258.333333333336,09/08/2018
PEUGEOT,PEUGEOT 308,77775.0,Essence,Boite de vitesse manuelle,130,2,Berline,Gris,Mi-cuir ,110.5,Crit'Air 1,Unknown,2018,27760.0,09/05/2018
DS,DS AUTOMOBILES DS3,36077.0,Essence,Boite de vitesse automatique,131,1,SUV,Gris,Mi-cuir ,135.0,Crit'Air 1,Non,2022,35500.0,09/01/2023
NISSAN,NISSAN MICRA,81860.0,Diesel,Boite de vitesse manuelle,90,Inconnu,Citadine,Rouge,Tissu ,85.0,Crit'Air 2,Non,2017,21190.0,09/07/2017
NISSAN,NISSAN JUKE,40355.0,Essence,Boite de vitesse manuelle,115,4,SUV,Noir,Tissu ,128.0,Crit'Air 1,Oui,2018,22000.0,09/07/2018
DACIA,DACIA DUSTER,69900.0,Diesel,Boite de vitesse manuelle,116,Inconnu,SUV,Noir,Tissu ,127.0,Crit'Air 2,Non,2022,21850.0,09/06/2022
PEUGEOT,PEUGEOT 3008,87972.0,Diesel,Boite de vitesse manuelle,120,2,SUV,Gris,Tissu ,100.0,Crit'Air 2,Non,2017,32560.0,09/10/2017
